"","X","Symbol","Name","Sector","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA.x","Price.Sales","Price.Book","SEC.Filings","Debt","Rev_Growth","EBITDA.y","Leverage","Beta"
"270",272,"LOW","Lowe's Cos.","Consumer Discretionary",95.01,23.9,1.64,3.46,108.98,70.76,82909678852,7.86e+09,1.5653384,14.1,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW",14460,3.26,7.86e+09,1.84,1.03783183728801
"271",273,"LRCX","Lam Research","Information Technology",162.23,16.3,1.17,9.22,219.7,113.1982,27967534829,2967218000,3.0405293,4.52,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX",1805.09,23.37,2967218000,0.61,1.53144412453728
"272",274,"LUV","Southwest Airlines","Industrials",55.63,15.9,0.86,5.82,66.985,49.76,34351211637,4.53e+09,1.6294897,3.84,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV",3100,2.73,4.53e+09,0.68,1.0018606831898
"273",275,"LYB","LyondellBasell","Materials",105.79,10.4,3.26,12.25,121.95,78.01,43556650000,6.85e+09,1.3037612,5.86,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB",7471,18.63,6.85e+09,1.09,0.924562285970955
"274",276,"M","Macy's Inc.","Consumer Discretionary",24,7.7,6.1,1.98,33.73,17.405,7541063495,2.45e+09,0.45503208,1.69,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=M",5469,1.8,2.45e+09,2.24,1.04872404867772
"275",277,"MA","Mastercard Inc.","Information Technology",160.62,35,0.59,3.65,177.11,105.8,1.87102e+11,7.11e+09,15.020556,26.93,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MA",5858,21.05,7.11e+09,0.82,1.45960166093844
"276",278,"MAA","Mid-America Apartments","Real Estate",85.39,14.4,4.2,2.86,110.95,86.95,9992628990,871483000,6.6291075,1.6,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAA",4504.02,6.99,871483000,5.17,0.504516105528576
"277",279,"MAC","Macerich","Real Estate",58.36,14.8,4.92,3.43,69.73,52.12,8473119166,503183000,11.394877,2.24,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAC",5257.41,-3.2,503183000,10.45,0.683548401874994
"278",280,"MAR","Marriott Int'l.","Consumer Discretionary",133.88,32.7,0.95,2.67,149.21,85.3725,50910130358,2.62e+09,2.9997249,11.02,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAR",8710,3.01,2.62e+09,3.32,1.08672983101794
"279",281,"MAS","Masco Corp.","Industrials",40.7,22.1,0.98,1.47,46.445,31.29,13428792315,1.18e+09,2.308266,11.93,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS",2971,8.53,1.18e+09,2.52,1.00058290412456
"280",282,"MAT","Mattel Inc.","Consumer Discretionary",16,-14.7,0,-3.06,26.3,12.71,5843402350,-203599000,1.1863722,3.87,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAT",2849.92,-10.13,-203599000,-14,1.61003000279908
"281",283,"MCD","McDonald's Corp.","Consumer Discretionary",158.97,23.8,2.44,6.36,178.7,124.36,1.32102e+11,10515400000,5.770237,146.07,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD",31895.2,-9.81,10515400000,3.03,0.448540028178074
